title,address,description,price,date,seller,image
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,"£25,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/84893258/51305_5394_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Hamilton Terrace, St John's Wood, London, NW8","A 6 bedroom Georgian house for sale in St Johns Wood, NW8 A magnificent 12,435 sq ft Georgian house built circa 1850 that has been the subject of a major renovation behind the period façade. EPC D. An elegant period, detached, freehold house, refurbished and remodelled to the highest of sta...","£25,000,000",13/07/2018,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/73393096/65830_SJW120142_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"The Grande House, St James's, London, SW1A","An immaculate town house located in the heart of St James’s, which seamlessly blends contemporary design, luxurious materials and unique charm, all set behind a striking black brick façade.","£25,000,000",10/06/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477891/49602_MAS170108_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Hamilton Terrace, St Johns Wood, London, NW8",A magnificent Georgian detached family home situated on this prestigious tree lined boulevard.,"£25,000,000",02/08/2019,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/64130025/78202_STS150012_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Eaton Terrace, London, SW1W",A beautifully refurbished Grade II listed freehold townhouse located in this sought after address between Eaton Square and Sloane Square.,"£23,000,000",18/10/2019,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/74874898/48943_SLH190086_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Eaton Terrace, Belgravia, London, SW1W","Immaculate newly refurbished freehold house for sale, SW1A brand newly refurbished freehold townhouse located in this sought after address between Eaton Square and Sloane Square. Approximately 569 sq m (6,131 sq ft). Grade II listed.This impressive white stucco fronted family home has been ...","£23,000,000",18/10/2019,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/74857120/94745_BGV190047_IMG_02_0000_max_476x317.jpg
Detached house for sale,"Winnington Road, N2","One of the finest houses to come onto the market, approached by a magnificent carriage driveway is this ambassadorial detached residence built ten years ago, standing in its own grounds. The house features a grand central staircase in beautiful white marble with ornate balustrades. The a...","£23,000,000",25/11/2019,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/66614865/190037_29291104_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"St James's House, 88 St. James's Street, London, SW1A",An exclusive 4 bedroom apartment within a magnificent period residence The Clarence comprises of four bedrooms suites and has been finished to the highest specification combining its historic legacy with luxury modern features. It's proximity to royalty makes St. James's House truly unique. Boa...,"£22,500,000",16/11/2018,"Knight Frank - New Homes, Prime Central London Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41063/77191517/41063_KRD170903_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"The Clarence, 88 St. James's Street, London",A stunning four bedroom lateral apartment in Royal St. James,"£22,500,000",08/06/2019,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/72158785/96919_LNW190052_IMG_02_0000_max_476x317.jpg
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge","The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.","£22,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/84893180/51305_5393_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Herbert Crescent, Knightsbridge, SW1X ","Sole Selling Agent Knightsbridge, are pleased to offer this outstanding brand new high-end development freehold house, situated in one of the most prestigious addresses in the centre of Knightsbridge. Internal area of 4,638 Sq Ft (431 Sq Meters).",POA,24/09/2019,"Knightsbridge, Estate Agents",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111955/74337697/111955_521_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Cornwall Terrace, London","An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London’s most prestigious locations. The property, spread across 9,213 sq ft, is offered in shell condition with the benefit of Planning Permission, Listed Building and Crow...",POA,10/04/2017,"Sandfords, Regents Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45144/47838357/45144_SAN170028_IMG_16_0000_max_476x317.jpg
